employee_id,task_id,status,completion_date
EMP001,T001,Complete,2026-04-27
EMP001,T002,Complete,2026-05-04
EMP001,T003,Complete,2026-04-30
EMP001,T004,Pending,
EMP001,T005,Pending,
EMP001,T006,Complete,2026-05-10
EMP001,T007,Complete,2026-04-29
EMP001,T008,Pending,
EMP001,T009,Pending,
EMP001,T010,Complete,2026-05-03
EMP001,T011,Pending,
EMP001,T012,Complete,2026-05-10
EMP001,T013,Complete,2026-05-05
EMP001,T014,Pending,
EMP001,T015,Complete,2026-05-02
EMP002,T001,Pending,
EMP002,T002,Pending,
EMP002,T003,Complete,2026-05-12
EMP002,T004,Pending,
EMP002,T005,Complete,2026-05-06
EMP002,T006,Pending,
EMP002,T007,Pending,
EMP002,T008,Pending,
EMP002,T009,Complete,2026-05-09
EMP002,T010,Pending,
EMP002,T011,Pending,
EMP002,T012,Pending,
EMP002,T013,Pending,
EMP002,T014,Pending,
EMP002,T015,Pending,
EMP003,T001,Pending,
EMP003,T002,Pending,
EMP003,T003,Pending,
EMP003,T004,Complete,2026-05-04
EMP003,T005,Pending,
EMP003,T006,Pending,
EMP003,T007,Pending,
EMP003,T008,Pending,
EMP003,T009,Pending,
EMP003,T010,Pending,
EMP003,T011,Pending,
EMP003,T012,Complete,2026-05-08
EMP003,T013,Complete,2026-05-05
EMP003,T014,Pending,
EMP003,T015,Pending,
EMP004,T001,Complete,2026-05-11
EMP004,T002,Complete,2026-05-10
EMP004,T003,Complete,2026-05-10
EMP004,T004,Complete,2026-05-10
EMP004,T005,Complete,2026-05-08
EMP004,T006,Complete,2026-05-08
EMP004,T007,Complete,2026-05-09
EMP004,T008,Complete,2026-05-10
EMP004,T009,Complete,2026-05-09
EMP004,T010,Complete,2026-05-11
EMP004,T011,Complete,2026-05-10
EMP004,T012,Complete,2026-05-11
EMP004,T013,Complete,2026-05-09
EMP004,T014,Complete,2026-05-08
EMP004,T015,Complete,2026-05-09
EMP005,T001,Complete,2026-05-07
EMP005,T002,Complete,2026-04-29
EMP005,T003,Complete,2026-05-04
EMP005,T004,Complete,2026-05-09
EMP005,T005,Pending,
EMP005,T006,Complete,2026-04-26
EMP005,T007,Pending,
EMP005,T008,Pending,
EMP005,T009,Pending,
EMP005,T010,Complete,2026-05-07
EMP005,T011,Pending,
EMP005,T012,Complete,2026-04-23
EMP005,T013,Complete,2026-04-21
EMP005,T014,Pending,
EMP005,T015,Pending,
EMP006,T001,Complete,2026-05-01
EMP006,T002,Complete,2026-05-01
